,Date/Time,Lat,Lon,Base,date,month,week,MonthDayNum,HourOfDay,DayOfWeekNum,DayOfWeek,Time,labels,labels_DBSCAN
493191,2014-06-06 00:55:00,40.7405,-73.9983,B02682,2014-06-06,6,23,6,0,5,Friday,Friday-0,5,0
193168,2014-06-20 00:20:00,40.6889,-73.9889,B02598,2014-06-20,6,25,20,0,5,Friday,Friday-0,1,0
589014,2014-06-20 00:34:00,40.8154,-73.9441,B02682,2014-06-20,6,25,20,0,5,Friday,Friday-0,2,0
588934,2014-06-20 00:02:00,40.7629,-73.9894,B02682,2014-06-20,6,25,20,0,5,Friday,Friday-0,2,0
542855,2014-06-13 00:06:00,40.7631,-73.9718,B02682,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
433685,2014-06-27 00:08:00,40.7431,-73.9893,B02617,2014-06-27,6,26,27,0,5,Friday,Friday-0,5,0
135423,2014-06-13 00:06:00,40.7141,-74.0146,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,5,0
589022,2014-06-20 00:38:00,40.7661,-73.9834,B02682,2014-06-20,6,25,20,0,5,Friday,Friday-0,2,0
135520,2014-06-13 00:35:00,40.7222,-73.9574,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,1,0
135557,2014-06-13 00:48:00,40.7933,-74.0027,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
342212,2014-06-13 00:21:00,40.7421,-73.9923,B02617,2014-06-13,6,24,13,0,5,Friday,Friday-0,5,0
588986,2014-06-20 00:23:00,40.7302,-74.0047,B02682,2014-06-20,6,25,20,0,5,Friday,Friday-0,5,0
247301,2014-06-27 00:46:00,40.7394,-74.0065,B02598,2014-06-27,6,26,27,0,5,Friday,Friday-0,5,0
493129,2014-06-06 00:27:00,40.7591,-73.9903,B02682,2014-06-06,6,23,6,0,5,Friday,Friday-0,2,0
386045,2014-06-20 00:39:00,40.7418,-74.0037,B02617,2014-06-20,6,25,20,0,5,Friday,Friday-0,5,0
